Sl. No,Timestamp,Cell id,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13
0,1657875064,T1,-83,-92,-92,-66,-80,-82,-110,-110,-110,-110,-110,-110,-110
1,1657875065,T1,-83,-92,-92,-66,-80,-82,-110,-110,-110,-110,-110,-110,-110
2,1657875066,T1,-83,-92,-92,-66,-80,-82,-110,-110,-110,-110,-110,-110,-110
3,1657875067,T1,-83,-92,-92,-66,-80,-82,-110,-110,-110,-110,-110,-110,-110
4,1657875068,T1,-83,-92,-92,-66,-80,-82,-110,-110,-110,-110,-110,-110,-110
5,1657875069,T1,-83,-92,-92,-66,-80,-82,-110,-110,-110,-110,-110,-110,-110
6,1657875070,T1,-89,-93,-92,-61,-90,-83,-110,-110,-110,-110,-110,-110,-110
7,1657875071,T1,-89,-93,-92,-61,-90,-83,-110,-110,-110,-110,-110,-110,-110
8,1657875072,T1,-89,-93,-92,-61,-90,-83,-110,-110,-110,-110,-110,-110,-110
9,1657875073,T1,-89,-93,-92,-61,-90,-83,-110,-110,-110,-110,-110,-110,-110
10,1657875074,T1,-89,-93,-92,-61,-90,-83,-110,-110,-110,-110,-110,-110,-110
11,1657875075,T1,-89,-93,-92,-61,-90,-83,-110,-110,-110,-110,-110,-110,-110
12,1657875076,T1,-82,-93,-92,-60,-78,-80,-110,-110,-110,-110,-110,-110,-110
13,1657875077,T1,-82,-93,-92,-60,-78,-80,-110,-110,-110,-110,-110,-110,-110
14,1657875078,T1,-82,-93,-92,-60,-78,-80,-110,-110,-110,-110,-110,-110,-110
15,1657875079,T1,-82,-93,-92,-60,-78,-80,-110,-110,-110,-110,-110,-110,-110
16,1657875080,T1,-82,-93,-92,-60,-78,-80,-110,-110,-110,-110,-110,-110,-110
17,1657875081,T1,-82,-93,-92,-60,-78,-80,-110,-110,-110,-110,-110,-110,-110
0,1657875107,T2,-92,-93,-83,-55,-78,-84,-91,-83,-110,-110,-110,-110,-110
1,1657875108,T2,-92,-93,-83,-55,-78,-84,-91,-83,-110,-110,-110,-110,-110
2,1657875109,T2,-75,-93,-85,-68,-80,-74,-91,-89,-110,-110,-110,-110,-110
3,1657875110,T2,-75,-110,-85,-68,-80,-74,-91,-89,-110,-110,-110,-110,-110
4,1657875111,T2,-75,-110,-85,-68,-80,-74,-91,-89,-110,-110,-110,-110,-110
5,1657875112,T2,-75,-110,-85,-68,-80,-74,-91,-89,-110,-110,-110,-110,-110
6,1657875113,T2,-75,-110,-85,-68,-80,-74,-91,-89,-110,-110,-110,-110,-110
7,1657875114,T2,-75,-110,-85,-68,-80,-74,-91,-89,-110,-110,-110,-110,-110
8,1657875115,T2,-79,-110,-85,-63,-87,-83,-92,-84,-110,-110,-110,-110,-110
9,1657875116,T2,-79,-110,-85,-63,-87,-83,-92,-84,-110,-110,-110,-110,-110
10,1657875117,T2,-79,-110,-85,-63,-87,-83,-92,-84,-110,-110,-110,-110,-110
11,1657875118,T2,-79,-110,-85,-63,-87,-83,-92,-84,-110,-110,-110,-110,-110
12,1657875119,T2,-79,-110,-85,-63,-87,-83,-92,-84,-110,-110,-110,-110,-110
13,1657875120,T2,-79,-110,-85,-63,-87,-83,-92,-84,-110,-110,-110,-110,-110
0,1657875146,T3,-77,-110,-85,-67,-87,-82,-90,-84,-110,-110,-110,-110,-110
1,1657875147,T3,-77,-110,-85,-67,-87,-82,-90,-84,-110,-110,-110,-110,-110
2,1657875148,T3,-77,-110,-85,-67,-87,-82,-90,-84,-110,-110,-110,-110,-110
3,1657875149,T3,-77,-110,-85,-67,-87,-82,-90,-84,-110,-110,-110,-110,-110
4,1657875150,T3,-77,-110,-85,-67,-87,-82,-90,-84,-110,-110,-110,-110,-110
5,1657875151,T3,-77,-110,-85,-67,-87,-82,-90,-84,-110,-110,-110,-110,-110
