Sl. No,Timestamp,Cell id,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12
0,1657874971,T1,-76,-63,-100,-110,-110,-110,-110,-110,-110,-110,-110,-110
1,1657874972,T1,-76,-63,-100,-110,-110,-110,-110,-110,-110,-110,-110,-110
2,1657874973,T1,-76,-63,-100,-110,-110,-110,-110,-110,-110,-110,-110,-110
3,1657874975,T1,-80,-64,-94,-77,-110,-110,-110,-110,-110,-110,-110,-110
4,1657874976,T1,-80,-64,-94,-77,-110,-110,-110,-110,-110,-110,-110,-110
5,1657874977,T1,-80,-64,-94,-77,-110,-110,-110,-110,-110,-110,-110,-110
6,1657874978,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110
7,1657874979,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110
8,1657874980,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110
9,1657874981,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110
10,1657874982,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110
11,1657874983,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110
12,1657874984,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110
13,1657874985,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110
14,1657874986,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110
15,1657874987,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110
16,1657874988,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110
17,1657874989,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110
18,1657874990,T1,-85,-68,-110,-81,-82,-93,-110,-110,-110,-110,-110,-110
0,1657875045,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
1,1657875046,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
2,1657875047,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
3,1657875048,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
4,1657875049,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
5,1657875050,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
6,1657875051,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
7,1657875052,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
8,1657875053,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
9,1657875054,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
10,1657875055,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
11,1657875056,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
12,1657875057,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
13,1657875058,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
14,1657875059,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
15,1657875060,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
16,1657875061,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
17,1657875062,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
18,1657875063,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
19,1657875064,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
20,1657875065,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
21,1657875066,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
22,1657875067,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
23,1657875068,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
24,1657875069,T2,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
0,1657875095,T3,-81,-72,-110,-110,-84,-110,-86,-110,-110,-110,-110,-110
1,1657875096,T3,-76,-67,-110,-110,-110,-110,-110,-94,-86,-110,-110,-110
2,1657875097,T3,-76,-67,-110,-110,-110,-110,-110,-94,-86,-110,-110,-110
3,1657875098,T3,-76,-67,-110,-110,-110,-110,-110,-94,-86,-110,-110,-110
4,1657875099,T3,-76,-67,-110,-110,-110,-110,-110,-94,-86,-110,-110,-110
5,1657875100,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
6,1657875101,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
7,1657875102,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
8,1657875103,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
9,1657875104,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
10,1657875105,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
11,1657875106,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
12,1657875107,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
13,1657875108,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
14,1657875109,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
15,1657875110,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
16,1657875111,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
17,1657875112,T3,-84,-78,-110,-110,-86,-110,-85,-95,-110,-110,-110,-110
