Sl. No,Timestamp,Cell id,bc:22:28:40:8a:bc,e0:89:9d:ff:04:00,e0:89:9d:ff:04:01,10:62:eb:18:c4:b5,e0:89:9d:ff:04:0e,e0:89:9d:ff:04:0f,a6:0a:f7:eb:d2:bd,c0:5b:02:1d:00:65,36:e3:62:9c:0a:38,da:cc:e0:68:09:8c,90:8d:78:5d:7c:08,da:81:11:df:26:35
0,1657874982,T1,-70,-73,-73,-77,-85,-86,-110,-110,-110,-110,-110,-110
1,1657874983,T1,-70,-73,-73,-77,-85,-86,-110,-110,-110,-110,-110,-110
2,1657874984,T1,-70,-73,-73,-77,-85,-86,-110,-110,-110,-110,-110,-110
3,1657874985,T1,-70,-73,-73,-77,-85,-86,-110,-110,-110,-110,-110,-110
4,1657874986,T1,-70,-73,-73,-77,-85,-86,-110,-110,-110,-110,-110,-110
5,1657874987,T1,-70,-73,-73,-77,-85,-86,-110,-110,-110,-110,-110,-110
6,1657874988,T1,-70,-73,-73,-77,-85,-86,-110,-110,-110,-110,-110,-110
7,1657874989,T1,-65,-79,-82,-79,-87,-83,-89,-110,-110,-110,-110,-110
8,1657874990,T1,-65,-79,-82,-79,-87,-83,-89,-110,-110,-110,-110,-110
9,1657874991,T1,-65,-79,-82,-79,-87,-83,-89,-110,-110,-110,-110,-110
10,1657874992,T1,-65,-79,-82,-79,-87,-83,-89,-110,-110,-110,-110,-110
0,1657875069,T2,-63,-79,-78,-76,-85,-84,-89,-89,-110,-110,-110,-110
1,1657875070,T2,-63,-79,-78,-76,-85,-84,-89,-89,-110,-110,-110,-110
2,1657875071,T2,-63,-79,-78,-76,-85,-84,-89,-89,-110,-110,-110,-110
3,1657875072,T2,-63,-79,-78,-76,-85,-84,-89,-89,-110,-110,-110,-110
4,1657875073,T2,-63,-79,-78,-76,-85,-84,-89,-89,-110,-110,-110,-110
5,1657875074,T2,-63,-79,-78,-76,-85,-84,-89,-89,-110,-110,-110,-110
6,1657875075,T2,-63,-79,-78,-76,-85,-84,-89,-89,-110,-110,-110,-110
7,1657875076,T2,-63,-79,-78,-76,-85,-84,-89,-89,-110,-110,-110,-110
8,1657875077,T2,-63,-79,-78,-76,-85,-84,-89,-89,-110,-110,-110,-110
9,1657875078,T2,-63,-79,-78,-76,-85,-84,-89,-89,-110,-110,-110,-110
